deploy_date,collect_date,sample_month,site_code,exposure,zone,collector_type,replicate,proportion_sampled,count_classcode,count,method_code,sampler,notes
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,3,1,62,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,3,1,70,0,13,MDuncan,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,4,1,12,0,13,PMcBride,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,4,1,47,2,13,PMcBride,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,4,1,49,50,13,PMcBride,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,4,1,50,0,13,PMcBride,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,4,1,62,0,13,PMcBride,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,4,1,70,0,13,PMcBride,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,5,1,12,4,13,PMcBride,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,5,1,47,8,13,PMcBride,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,5,1,49,104,13,PMcBride,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,5,1,50,0,13,PMcBride,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,5,1,62,0,13,PMcBride,.,
2010-11-04,2011-01-03,.,CBLS00,exposed,int_mid,tuffy,5,1,70,0,13,PMcBride,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,1,1,12,1,13,MDuncan,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,1,1,47,1,13,MDuncan,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,1,1,49,37,13,MDuncan,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,1,1,50,0,13,MDuncan,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,1,1,62,0,13,MDuncan,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,1,1,70,0,13,MDuncan,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,2,1,12,0,13,MDuncan,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,2,1,47,5,13,MDuncan,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,2,1,49,68,13,MDuncan,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,2,1,50,0,13,MDuncan,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,2,1,62,0,13,MDuncan,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,2,1,70,0,13,MDuncan,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,3,1,12,0,13,PMcBride,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,3,1,47,1,13,PMcBride,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,3,1,49,40,13,PMcBride,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,3,1,50,0,13,PMcBride,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,3,1,62,0,13,PMcBride,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,3,1,70,0,13,PMcBride,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,4,1,12,0,13,PMcBride,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,4,1,47,1,13,PMcBride,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,4,1,49,1,13,PMcBride,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,4,1,50,0,13,PMcBride,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,4,1,62,0,13,PMcBride,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,4,1,70,0,13,PMcBride,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,5,1,12,1,13,MDuncan,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,5,1,47,18,13,MDuncan,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,5,1,49,6,13,MDuncan,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,5,1,50,0,13,MDuncan,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,5,1,62,0,13,MDuncan,.,
2010-11-22,2011-01-04,.,RKPX00,exposed,int_mid,tuffy,5,1,70,0,13,MDuncan,.,
2010-12-03,2011-03-20,.,YBHX00,exposed,int_mid,tuffy,2,1,12,12,13,SCook,reps_3,
2010-12-03,2011-03-20,.,YBHX00,exposed,int_mid,tuffy,2,1,47,681,13,SCook,reps_3,
2010-12-03,2011-03-20,.,YBHX00,exposed,int_mid,tuffy,2,1,49,4,13,SCook,reps_3,
2010-12-03,2011-03-20,.,YBHX00,exposed,int_mid,tuffy,2,1,50,0,13,SCook,reps_3,
2010-12-03,2011-03-20,.,YBHX00,exposed,int_mid,tuffy,2,1,62,1,13,SCook,reps_3,
2010-12-03,2011-03-20,.,YBHX00,exposed,int_mid,tuffy,2,1,70,1,13,SCook,reps_3,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,1,1,12,1,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,1,1,47,3,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,1,1,49,74,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,1,1,50,0,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,1,1,62,0,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,1,1,70,0,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,2,1,12,2,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,2,1,47,2,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,2,1,49,67,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,2,1,50,0,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,2,1,62,0,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,2,1,70,0,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,3,1,12,0,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,3,1,47,2,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,3,1,49,168,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,3,1,50,0,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,3,1,62,0,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,3,1,70,0,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,4,1,12,2,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,4,1,47,7,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,4,1,49,68,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,4,1,50,0,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,4,1,62,0,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,4,1,70,0,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,5,1,12,0,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,5,1,47,3,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,5,1,49,48,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,5,1,50,0,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,5,1,62,0,13,AKent,.,
2010-12-03,2011-04-17,.,SRKX00,exposed,int_mid,tuffy,5,1,70,0,13,AKent,.,
