id,long,lat,order,hole,piece,group,left,top,right,bottom,Segment,Estry,Region,Kdens_md,Kdens_mn,AREA,Kval_md,Kval_mn
5190,-124.5356503,42.80917674,60400,FALSE,1,5190.1,373946.8927,4740768.112,375101.5933,4739768.112,S6,0,S,1.258654892,1.498406599,0.5446,0.685463,0.816032
5191,-124.5306883,42.79995647,60416,FALSE,1,5191.1,373946.8927,4739768.112,375101.5933,4738768.112,S6,0,S,1.23891598,2.038381918,0.8332,1.032265,1.69838
5192,-124.5411677,42.78658971,60428,FALSE,1,5192.1,373946.8927,4738768.112,375101.5933,4737768.112,S6,0,S,1.770534456,3.036081952,0.8664,1.533991,2.630461
5193,-124.5409443,42.77758754,60435,FALSE,1,5193.1,373946.8927,4737768.112,375101.5933,4736768.112,S6,0,S,1.605895102,2.892806547,0.8664,1.391348,2.506328
5194,-124.5407211,42.76858535,60442,FALSE,1,5194.1,373946.8927,4736768.112,375101.5933,4735768.112,S6,0,S,1.465708256,1.998001478,0.8664,1.26989,1.731068
5195,-124.540498,42.75958315,60449,FALSE,1,5195.1,373946.8927,4735768.112,375101.5933,4734768.112,S6,0,S,1.132656574,1.193605445,0.8664,0.981334,1.03414
5196,-124.540275,42.75058093,60456,FALSE,1,5196.1,373946.8927,4734768.112,375101.5933,4733768.112,S6,0,S,0.862187922,0.878878335,0.8664,0.747,0.76146
5197,-124.5400521,42.7415787,60463,FALSE,1,5197.1,373946.8927,4733768.112,375101.5933,4732768.112,S6,0,S,0.765599608,0.726977268,0.8664,0.663316,0.629853
5670,-124.5308372,42.80033979,60970,FALSE,1,5670.1,374812.9181,4740268.112,375967.6187,4739268.112,S6,0,S,0.583473325,0.583473325,2.00E-04,0.000117,0.000117
5671,-124.5281506,42.79461744,60974,FALSE,1,5671.1,374812.9181,4739268.112,375967.6187,4738268.112,S6,0,S,0.585781604,0.656987568,0.1833,0.107374,0.120426
5672,-124.5250432,42.78680563,60984,FALSE,1,5672.1,374812.9181,4738268.112,375967.6187,4737268.112,S6,0,S,0.735877752,0.741286182,0.3864,0.284343,0.286433
