move,logmove,Otter,Site,Sex,Ageclass,AgeSex
1.43546255,0.361487132,3,1,0,1,2
0.4073745,-0.898022369,3,1,0,1,2
0.53381125,-0.627712967,3,1,0,1,2
4.023515,1.392155899,3,1,0,1,2
0.00289425,-5.845029269,3,1,0,1,2
1.4339209,0.36041258,3,1,0,1,2
0.95295095,-0.048191846,3,1,0,1,2
1.55008555,0.438310123,3,1,0,1,2
0.4269169,-0.851165898,3,1,0,1,2
0.1790664,-1.719998592,3,1,0,1,2
0.44170255,-0.817118587,3,1,0,1,2
0.09847925,-2.317909413,3,1,0,1,2
1.94052145,0.662956726,3,1,0,1,2
1.21496065,0.194711689,3,1,0,1,2
2.96257055,1.086057321,4,1,0,1,2
2.0759576,0.730422541,4,1,0,1,2
2.6163621,0.961784841,4,1,0,1,2
0.36680145,-1.002934585,4,1,0,1,2
3.5178601,1.257852879,4,1,0,1,2
3.93690175,1.370394056,4,1,0,1,2
2.0553614,0.720451696,4,1,0,1,2
3.9765901,1.380424693,4,1,0,1,2
7.8857407,2.065056154,4,1,0,1,2
3.59185875,1.278669826,4,1,0,1,2
3.97205315,1.379283127,4,1,0,1,2
2.06143195,0.723400863,4,1,0,1,2
3.96184,1.376708564,4,1,0,1,2
3.8214363,1.340626347,4,1,0,1,2
3.491019,1.250193671,4,1,0,1,2
0.4487876,-0.801205554,4,1,0,1,2
3.3143104,1.198249578,4,1,0,1,2
4.3453023,1.469095331,4,1,0,1,2
2.5554113,0.938213189,4,1,0,1,2
3.86245415,1.351302772,4,1,0,1,2
3.8864097,1.357485775,4,1,0,1,2
4.5871692,1.523263102,4,1,0,1,2
9.5819502,2.259881141,4,1,0,1,2
3.86738175,1.352577728,4,1,0,1,2
3.0533222,1.116230244,4,1,0,1,2
0.02116565,-3.855375694,4,1,0,1,2
0.02382045,-3.737210824,4,1,0,1,2
0.0401767,-3.214468053,4,1,0,1,2
0.8419943,-0.171982034,4,1,0,1,2
4.89704645,1.588632258,4,1,0,1,2
2.09990285,0.741891082,4,1,0,1,2
2.5224472,0.925229541,4,1,0,1,2
0.0160767,-4.13038426,4,1,0,1,2
0.5807108,-0.543502409,4,1,0,1,2
1.0138894,0.013793826,4,1,0,1,2
1.9691869,0.677620716,4,1,0,1,2
4.9036077,1.5899712,4,1,0,1,2
7.12542465,1.963669324,4,1,0,1,2
4.5819121,1.5221164,4,1,0,1,2
2.70644455,0.995635799,4,1,0,1,2
1.0114737,0.011408376,4,1,0,1,2
0.48609495,-0.721351304,4,1,0,1,2
4.9898384,1.607403524,4,1,0,1,2
2.437874,0.891126348,4,1,0,1,2
2.5771129,0.946669741,4,1,0,1,2
0.0974627,-2.328285538,4,1,0,1,2
2.54923565,0.935793569,4,1,0,1,2
0.10516025,-2.252269902,4,1,0,1,2
2.0174435,0.701831116,4,1,0,1,2
3.45703295,1.240410692,4,1,0,1,2
3.4570186,1.240406541,4,1,0,1,2
3.90753865,1.362907674,4,1,0,1,2
3.86517555,1.352007101,4,1,0,1,2
0.46429995,-0.767224492,4,1,0,1,2
7.5059132,2.015691137,4,1,0,1,2
3.5695736,1.272446149,4,1,0,1,2
0.58913045,-0.529107643,4,1,0,1,2
0.995216,-0.00479548,4,1,0,1,2
4.466298,1.496559878,4,1,0,1,2
0.69596425,-0.362456985,4,1,0,1,2
5.93386475,1.780675729,4,1,0,1,2
3.9376207,1.370576658,4,1,0,1,2
